GO,Embedding_Method,seed,Tree_Build_Method,Tree_Evolution_model,F_max,roc_auc,mcc
BP,Deepwalk,0,default,default,0.173788 0.104837 0.507717 0.010000,0.720374,0.199886
BP,Deepwalk,1310,default,default,0.158367 0.093138 0.528498 0.010000,0.710146,0.181096
CC,Deepwalk,0,default,default,0.352930 0.250000 0.599935 0.010000,0.758404,0.344723
CC,Deepwalk,1310,default,default,0.247291 0.151838 0.665931 0.010000,0.786266,0.27755
MF,Deepwalk,0,default,default,0.142603 0.095402 0.282246 0.010000,0.638886,0.150608
MF,Deepwalk,1310,default,default,0.127997 0.075163 0.430844 0.010000,0.68587,0.154129
BP,Fixed,0,default,default,0.147777 0.087805 0.466198 0.010000,0.683121,0.161574
BP,Fixed,1310,default,default,0.140048 0.079147 0.607489 0.010000,0.723616,0.172829
CC,Fixed,0,default,default,0.264901 0.165918 0.656627 0.010000,0.754198,0.275983
CC,Fixed,1310,default,default,0.249441 0.155682 0.627122 0.010000,0.774711,0.274878
MF,Fixed,0,default,default,0.143291 0.089331 0.361883 0.010000,0.682766,0.167908
MF,Fixed,1310,default,default,0.115214 0.066795 0.418819 0.010000,0.686628,0.142838
BP,Network,0,default,default,0.219065 0.164415 0.328135 0.010000,0.643791,0.199986
BP,Network,1310,default,default,0.149293 0.087417 0.510974 0.010000,0.683271,0.159413
CC,Network,0,default,default,0.340586 0.242115 0.574065 0.010000,0.741668,0.326841
CC,Network,1310,default,default,0.487179 0.470889 0.504637 0.010000,0.734937,0.437654
MF,Network,0,default,default,0.126997 0.078049 0.340615 0.010000,0.672494,0.151091
MF,Network,1310,default,default,0.141309 0.088875 0.344637 0.010000,0.644309,0.144298
BP,Tree,0,B,D,0.183420 0.110064 0.549965 0.010000,0.741736,0.217009
BP,Tree,0,B,F,0.285010 0.298077 0.273041 0.010000,0.627065,0.259246
BP,Tree,0,B,P,0.147215 0.088800 0.430229 0.010000,0.670326,0.155729
BP,Tree,0,D,D,0.144095 0.082252 0.580709 0.010000,0.72445,0.177032
BP,Tree,0,D,F,0.143134 0.081478 0.588349 0.010000,0.729154,0.17858
BP,Tree,0,D,P,0.178286 0.202381 0.159318 0.010000,0.565956,0.149321
BP,Tree,0,O,D,0.140515 0.079126 0.626833 0.010000,0.736935,0.179894
BP,Tree,0,O,F,0.298968 0.275298 0.327092 0.010000,0.656499,0.276579
BP,Tree,0,O,P,0.130569 0.072714 0.638918 0.960000,0.732595,0.170417
BP,Tree,1310,B,D,0.152519 0.091753 0.451604 0.010000,0.668313,0.156719
BP,Tree,1310,B,F,0.190255 0.122541 0.425227 0.010000,0.685072,0.195328
BP,Tree,1310,B,P,0.133783 0.075111 0.611261 0.010000,0.714461,0.16349
BP,Tree,1310,D,D,0.194723 0.129917 0.388537 0.010000,0.675908,0.194018
BP,Tree,1310,D,F,0.146374 0.083675 0.583888 0.010000,0.721828,0.176902
BP,Tree,1310,D,P,0.223372 0.185491 0.280696 0.010000,0.620638,0.1967
BP,Tree,1310,O,D,0.213274 0.211788 0.214781 0.010000,0.595862,0.179375
BP,Tree,1310,O,F,0.145246 0.083457 0.559446 0.010000,0.709045,0.168924
BP,Tree,1310,O,P,0.161251 0.096216 0.497568 0.010000,0.704571,0.180358
CC,Tree,0,B,D,0.307422 0.216759 0.528458 0.010000,0.712289,0.287108
CC,Tree,0,B,F,0.273634 0.173666 0.644817 0.010000,0.755837,0.282321
CC,Tree,0,B,P,0.311365 0.230537 0.479471 0.010000,0.686752,0.277187
CC,Tree,0,D,D,0.278710 0.186411 0.552050 0.010000,0.720065,0.269684
CC,Tree,0,D,F,0.269519 0.169710 0.654351 0.010000,0.77252,0.289112
CC,Tree,0,D,P,0.366451 0.267010 0.583915 0.010000,0.743051,0.34349
CC,Tree,0,O,D,0.269805 0.172096 0.624207 0.010000,0.75297,0.279158
CC,Tree,0,O,F,0.262529 0.168776 0.590604 0.010000,0.737412,0.26649
CC,Tree,0,O,P,0.265002 0.168367 0.622003 0.010000,0.746163,0.271646
CC,Tree,1310,B,D,0.201316 0.118085 0.682057 0.010000,0.788061,0.244166
CC,Tree,1310,B,F,0.315795 0.215062 0.594038 0.010000,0.765125,0.315899
CC,Tree,1310,B,P,0.289713 0.190711 0.602464 0.010000,0.772739,0.301179
CC,Tree,1310,D,D,0.259317 0.159226 0.698227 0.010000,0.796118,0.293118
CC,Tree,1310,D,F,0.342746 0.253247 0.530078 0.010000,0.746852,0.329423
CC,Tree,1310,D,P,0.218192 0.131702 0.635591 0.010000,0.774445,0.251531
CC,Tree,1310,O,D,0.215564 0.127315 0.702527 0.010000,0.791821,0.258694
CC,Tree,1310,O,F,0.186688 0.110978 0.587470 0.010000,0.737185,0.213711
CC,Tree,1310,O,P,0.272941 0.174526 0.625874 0.010000,0.78313,0.296735
MF,Tree,0,B,D,0.081618 0.044332 0.513537 0.010000,0.709902,0.122709
MF,Tree,0,B,F,0.084243 0.047441 0.375701 0.010000,0.662067,0.109637
MF,Tree,0,B,P,0.143501 0.095906 0.284873 0.010000,0.644895,0.154436
MF,Tree,0,D,D,0.177346 0.133127 0.265551 0.010000,0.632307,0.176161
MF,Tree,0,D,F,0.123630 0.073908 0.377778 0.010000,0.685103,0.152269
MF,Tree,0,D,P,0.137432 0.083966 0.378358 0.010000,0.697425,0.169169
MF,Tree,0,O,D,0.131237 0.079699 0.371413 0.010000,0.681201,0.15696
MF,Tree,0,O,F,0.105618 0.063802 0.306494 0.010000,0.660832,0.129815
MF,Tree,0,O,P,0.119105 0.074586 0.295452 0.010000,0.639384,0.131423
MF,Tree,1310,B,D,0.127488 0.073339 0.487212 0.010000,0.712851,0.162909
MF,Tree,1310,B,F,0.244079 0.346988 0.188249 0.010000,0.585606,0.217602
MF,Tree,1310,B,P,0.127688 0.075464 0.414623 0.010000,0.693665,0.155221
MF,Tree,1310,D,D,0.119398 0.070786 0.381157 0.010000,0.671273,0.140783
MF,Tree,1310,D,F,0.114994 0.065141 0.490001 0.010000,0.716107,0.154784
MF,Tree,1310,D,P,0.203833 0.184259 0.228061 0.010000,0.613921,0.188051
MF,Tree,1310,O,D,0.116643 0.068480 0.393160 0.010000,0.675171,0.141559
MF,Tree,1310,O,F,0.104577 0.057767 0.551313 0.010000,0.734396,0.149257
,Tree,1310,O,P,0.119445 0.067677 0.508128 0.010000,0.72306,0.162779
