GO,Embedding_Method,seed,Tree_Build_Method,Tree_Evolution_model,F_max,P_max,R_max,T_max,roc_auc,mcc
BP,deepwalk,0,default,default,0.1811195,0.1118875,0.480606,0.01,0.7067125,0.1993
BP,deepwalk,1310,default,default,0.160648,0.0950135,0.5201075,0.01,0.711732,0.183982
CC,deepwalk,0,default,default,0.324795,0.22534,0.5842715,0.01,0.743637,0.3157895
CC,deepwalk,1310,default,default,0.2715635,0.175919,0.6169765,0.01,0.7723815,0.2879175
MF,deepwalk,0,default,default,0.114298,0.072043,0.3251325,0.01,0.652273,0.131671
MF,deepwalk,1310,default,default,0.135831,0.0825145,0.3944045,0.01,0.676792,0.1566665
BP,fixed,0,default,default,0.1401355,0.0820275,0.485588,0.01,0.684842,0.1560585
BP,fixed,1310,default,default,0.1491445,0.08795,0.5208195,0.01,0.6933795,0.1653665
CC,fixed,0,default,default,0.3164565,0.218601,0.6142825,0.01,0.745324,0.3105145
CC,fixed,1310,default,default,0.2054225,0.1234295,0.6647955,0.01,0.775521,0.2432175
MF,fixed,0,default,default,0.125743,0.0764325,0.363062,0.01,0.682799,0.1534265
MF,fixed,1310,default,default,0.1207525,0.0697175,0.450969,0.01,0.7021945,0.153008
BP,network,0,default,default,0.177302,0.122033,0.3912215,0.01,0.6545925,0.1716165
BP,network,1310,default,default,0.170296,0.105825,0.463349,0.01,0.6800975,0.1756665
CC,network,0,default,default,0.3581595,0.2583025,0.5846855,0.01,0.747734,0.34276
CC,network,1310,default,default,0.465734,0.435173,0.5025465,0.01,0.728981,0.4179475
MF,network,0,default,default,0.179507,0.263662,0.248503,0.01,0.627326,0.2041795
MF,network,1310,default,default,0.150246,0.094234,0.3704685,0.01,0.6615885,0.1541035
BP,tree,0,B,D,0.2205385,0.150532,0.4728725,0.01,0.7132165,0.2349295
BP,tree,0,B,F,0.2275825,0.201697,0.3578705,0.01,0.6548505,0.219354
BP,tree,0,B,P,0.132823,0.0777935,0.4762845,0.01,0.674436,0.1456515
BP,tree,0,D,D,0.1238065,0.0702355,0.5235885,0.01,0.6806645,0.1406175
BP,tree,0,D,F,0.1431705,0.0818875,0.5697115,0.01,0.7203185,0.1744705
BP,tree,0,D,P,0.175082,0.1522575,0.3506445,0.01,0.6468745,0.1751555
BP,tree,0,O,D,0.1435715,0.081,0.631181,0.01,0.7447915,0.1861145
BP,tree,0,O,F,0.2464675,0.2081035,0.3191035,0.01,0.64841,0.230186
BP,tree,0,O,P,0.152945,0.10083,0.456353,0.485,0.6757175,0.163037
BP,tree,1310,B,D,0.1577525,0.094279,0.483416,0.01,0.68417,0.168124
BP,tree,1310,B,F,0.173454,0.1084495,0.44312,0.01,0.684602,0.1812725
BP,tree,1310,B,P,0.1430915,0.0819535,0.5742105,0.01,0.707577,0.1668955
BP,tree,1310,D,D,0.172887,0.108493,0.4791,0.01,0.6971505,0.186422
BP,tree,1310,D,F,0.1931615,0.1613955,0.4123375,0.01,0.665687,0.1957645
BP,tree,1310,D,P,0.1931065,0.14048,0.4170015,0.01,0.671642,0.193536
BP,tree,1310,O,D,0.1734145,0.143709,0.3926435,0.01,0.6499895,0.1689505
BP,tree,1310,O,F,0.147374,0.085078,0.550933,0.01,0.707754,0.1704945
BP,tree,1310,O,P,0.1473775,0.086112,0.5228585,0.01,0.700749,0.167735
CC,tree,0,B,D,0.30549,0.2102595,0.561707,0.01,0.7256715,0.2900315
CC,tree,0,B,F,0.30104,0.2010285,0.6146625,0.01,0.7442225,0.2963155
CC,tree,0,B,P,0.274939,0.1897035,0.5394905,0.01,0.7067575,0.259789
CC,tree,0,D,D,0.3088975,0.2320945,0.493584,0.01,0.6979845,0.2817975
CC,tree,0,D,F,0.2871105,0.2246575,0.49455,0.01,0.7029725,0.271501
CC,tree,0,D,P,0.3194025,0.246663,0.462911,0.01,0.6867785,0.2833325
CC,tree,0,O,D,0.257466,0.1745085,0.5115615,0.01,0.703533,0.2468265
CC,tree,0,O,F,0.3053075,0.244544,0.485869,0.01,0.697421,0.2830285
CC,tree,0,O,P,0.27067,0.1879905,0.517537,0.01,0.702536,0.2558545
CC,tree,1310,B,D,0.2316455,0.1415575,0.658526,0.01,0.783894,0.2652155
CC,tree,1310,B,F,0.29857,0.197263,0.6224175,0.01,0.774217,0.310215
CC,tree,1310,B,P,0.2515775,0.159418,0.6206465,0.01,0.772517,0.27537
CC,tree,1310,D,D,0.229839,0.1380675,0.699179,0.01,0.7888195,0.270362
CC,tree,1310,D,F,0.3785725,0.29764,0.5278405,0.01,0.747926,0.3581475
CC,tree,1310,D,P,0.308332,0.2330245,0.5643115,0.01,0.747302,0.308174
CC,tree,1310,O,D,0.2549235,0.1730325,0.576008,0.01,0.7370025,0.2630985
CC,tree,1310,O,F,0.207784,0.1248595,0.620418,0.01,0.75886,0.237727
CC,tree,1310,O,P,0.23323,0.1433145,0.6664105,0.01,0.7870735,0.2692105
MF,tree,0,B,D,0.104319,0.0613765,0.4237765,0.01,0.6895775,0.136333
MF,tree,0,B,F,0.1518475,0.1248075,0.30783,0.01,0.6402875,0.1570595
MF,tree,0,B,P,0.130408,0.0814535,0.377952,0.01,0.6823805,0.156507
MF,tree,0,D,D,0.17651,0.135404,0.2540885,0.01,0.624625,0.1708155
MF,tree,0,D,F,0.1222,0.0715275,0.4271665,0.01,0.6978,0.154876
MF,tree,0,D,P,0.1529035,0.105389,0.314412,0.01,0.662728,0.167489
MF,tree,0,O,D,0.1167245,0.069323,0.3778065,0.01,0.679614,0.1440795
MF,tree,0,O,F,0.0927065,0.0554755,0.282946,0.01,0.633244,0.1079495
MF,tree,0,O,P,0.1222705,0.072859,0.4128215,0.01,0.693711,0.1533535
MF,tree,1310,B,D,0.1388325,0.082917,0.4431145,0.01,0.6967535,0.161576
MF,tree,1310,B,F,0.216007,0.293226,0.1714525,0.01,0.577953,0.175626
MF,tree,1310,B,P,0.1703095,0.273309,0.2760845,0.01,0.625705,0.1595945
MF,tree,1310,D,D,0.118065,0.069081,0.4088155,0.01,0.6830845,0.143921
MF,tree,1310,D,F,0.188484,0.1590765,0.3807975,0.01,0.6693085,0.1879665
MF,tree,1310,D,P,0.1609445,0.126413,0.326182,0.01,0.642706,0.1606295
MF,tree,1310,O,D,0.1129645,0.065026,0.439377,0.01,0.689471,0.1428865
MF,tree,1310,O,F,0.170449,0.1256705,0.427305,0.01,0.685979,0.176445
MF,tree,1310,O,P,0.139516,0.0863475,0.420167,0.01,0.690089,0.1647155
